"ds" "trend" "additive_terms" "additive_terms_lower" "additive_terms_upper" "yearly" "yearly_lower" "yearly_upper" "multiplicative_terms" "multiplicative_terms_lower" "multiplicative_terms_upper" "yhat_lower" "yhat_upper" "trend_lower" "trend_upper" "yhat"
"5743" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1661.96310919344 3486.47845278567 892.113328328911 892.113328328911 934.695463501559
"5744" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1437.5571887114 3551.16614888718 889.816102323167 889.816102323167 852.926502094024
"5745" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1492.0715409145 3525.69632045058 889.816102323167 889.816102323167 852.926502094024
"5746" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1587.21039039551 3460.59158520522 889.816102323167 889.816102323167 852.926502094024
"5747" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1736.25661526468 3366.40459875639 889.816102323167 889.816102323167 852.926502094024
"5748" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1740.23342057444 3501.97483549315 889.816102323167 889.816102323167 852.926502094024
"5749" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1521.46533482832 3335.03788947133 889.816102323167 889.816102323167 852.926502094024
"5750" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1663.22203766332 3281.26640834736 889.816102323167 889.816102323167 852.926502094024
"5751" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1532.27309617538 3404.29519700822 889.816102323167 889.816102323167 852.926502094024
"5752" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1592.10225107342 3606.10228543487 889.816102323167 889.816102323167 852.926502094024
"5753" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1821.52799765332 3586.90297836413 889.816102323167 889.816102323167 852.926502094024
"5754" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1741.86599910845 3362.66712416342 889.816102323167 889.816102323167 852.926502094024
"5755" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1765.16832369962 3253.08012522711 889.816102323167 889.816102323167 852.926502094024
"5756" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1712.37057728296 3346.78862074483 889.816102323167 889.816102323167 852.926502094024
"5757" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1713.20418422654 3378.25639609707 889.816102323167 889.816102323167 852.926502094024
"5758" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1750.70994321588 3303.70275344468 889.816102323167 889.816102323167 852.926502094024
"5759" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1895.06614854547 3418.53842444237 889.816102323167 889.816102323167 852.926502094024
"5760" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1802.46024723434 3377.17387293566 889.816102323167 889.816102323167 852.926502094024
"5761" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1725.52501846688 3367.50712446567 889.816102323167 889.816102323167 852.926502094024
"5762" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1856.64270963077 3529.3590660507 889.816102323167 889.816102323167 852.926502094024
"5763" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1685.72489530633 3335.25792879054 889.816102323167 889.816102323167 852.926502094024
