"ds" "type" "y" "floor" "t" "y_scaled"
"154" 2000-11-01 "Agravo Lei" 2 0 0.0466075794621027 0.000150591069949552
"155" 2000-11-01 "Agravo Regimental" 36 0 0.0466075794621027 0.00271063925909194
"156" 2000-11-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 2712 0 0.0466075794621027 0.204201490851593
"157" 2000-11-01 "Apela\xc3\xa7\xc3\xa3o Crime" 236 0 0.0466075794621027 0.0177697462540471
"158" 2000-11-01 "Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio" 383 0 0.0466075794621027 0.0288381898953392
"159" 2000-11-01 "Conflito de Compet\xc3\xaancia" 8 0 0.0466075794621027 0.000602364279798208
"160" 2000-11-01 "Correi\xc3\xa7\xc3\xa3o Parcial" 3 0 0.0466075794621027 0.000225886604924328
"161" 2000-11-01 "Embargos \xc3\xa0 Execu\xc3\xa7\xc3\xa3o" 1 0 0.0466075794621027 7.5295534974776e-05
"162" 2000-11-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 481 0 0.0466075794621027 0.0362171523228673
"163" 2000-11-01 "Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o" 2 0 0.0466075794621027 0.000150591069949552
"164" 2000-11-01 "Habeas Corpus" 42 0 0.0466075794621027 0.00316241246894059
"165" 2000-11-01 "Mandado de Seguran\xc3\xa7a" 5 0 0.0466075794621027 0.00037647767487388
"166" 2000-11-01 "Medida Cautelar Inominada" 4 0 0.0466075794621027 0.000301182139899104
"167" 2000-11-01 "Outros Feitos" 3 0 0.0466075794621027 0.000225886604924328
"168" 2000-11-01 "Processo Crime" 5 0 0.0466075794621027 0.00037647767487388
"169" 2000-11-01 "Recurso de Of\xc3\xadcio" 2 0 0.0466075794621027 0.000150591069949552
"170" 2000-11-01 "Recurso em Sentido Estrito" 22 0 0.0466075794621027 0.00165650176944507
"171" 2000-11-01 "Reexame Necess\xc3\xa1rio" 88 0 0.0466075794621027 0.00662600707778029
"172" 2000-12-01 "A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria" 4 0 0.0511919315403423 0.000301182139899104
"173" 2000-12-01 "Agravo" 130 0 0.0511919315403423 0.00978841954672088
"174" 2000-12-01 "Agravo de Instrumento" 870 0 0.0511919315403423 0.0655071154280551
"175" 2000-12-01 "Agravo Interno" 26 0 0.0511919315403423 0.00195768390934418
"176" 2000-12-01 "Agravo Regimental" 28 0 0.0511919315403423 0.00210827497929373
"177" 2000-12-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 2363 0 0.0511919315403423 0.177923349145396
"178" 2000-12-01 "Apela\xc3\xa7\xc3\xa3o Crime" 232 0 0.0511919315403423 0.017468564114148
"179" 2000-12-01 "Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio" 406 0 0.0511919315403423 0.0305699871997591
"180" 2000-12-01 "Carta Testemunh\xc3\xa1vel" 1 0 0.0511919315403423 7.5295534974776e-05
"181" 2000-12-01 "Cautelar Inominada" 1 0 0.0511919315403423 7.5295534974776e-05
"182" 2000-12-01 "Conflito de Compet\xc3\xaancia" 5 0 0.0511919315403423 0.00037647767487388
"183" 2000-12-01 "Conflito de Jurisdi\xc3\xa7\xc3\xa3o" 1 0 0.0511919315403423 7.5295534974776e-05
"184" 2000-12-01 "Correi\xc3\xa7\xc3\xa3o Parcial" 5 0 0.0511919315403423 0.00037647767487388
"185" 2000-12-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 578 0 0.0511919315403423 0.0435208192154205
"186" 2000-12-01 "Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o" 1 0 0.0511919315403423 7.5295534974776e-05
"187" 2000-12-01 "Habeas Corpus" 56 0 0.0511919315403423 0.00421654995858746
"188" 2000-12-01 "Mandado de Seguran\xc3\xa7a" 9 0 0.0511919315403423 0.000677659814772984
"189" 2000-12-01 "Medida Cautelar Inominada" 1 0 0.0511919315403423 7.5295534974776e-05
"190" 2000-12-01 "Outros Feitos" 6 0 0.0511919315403423 0.000451773209848656
"191" 2000-12-01 "Processo Crime" 6 0 0.0511919315403423 0.000451773209848656
"192" 2000-12-01 "Recurso de Of\xc3\xadcio" 6 0 0.0511919315403423 0.000451773209848656
"193" 2000-12-01 "Recurso em Sentido Estrito" 26 0 0.0511919315403423 0.00195768390934418
"194" 2000-12-01 "Reexame Necess\xc3\xa1rio" 58 0 0.0511919315403423 0.00436714102853701
"195" 2001-01-01 "Agravo" 12 0 0.0559290953545232 0.000903546419697312
"196" 2001-01-01 "Agravo de Instrumento" 6 0 0.0559290953545232 0.000451773209848656
"197" 2001-01-01 "Agravo em Execu\xc3\xa7\xc3\xa3o" 1 0 0.0559290953545232 7.5295534974776e-05
"198" 2001-01-01 "Agravo Regimental" 3 0 0.0559290953545232 0.000225886604924328
"199" 2001-01-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 22 0 0.0559290953545232 0.00165650176944507
"200" 2001-01-01 "Apela\xc3\xa7\xc3\xa3o Crime" 49 0 0.0559290953545232 0.00368948121376402
"201" 2001-01-01 "Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio" 1 0 0.0559290953545232 7.5295534974776e-05
"202" 2001-01-01 "Conflito de Compet\xc3\xaancia" 6 0 0.0559290953545232 0.000451773209848656
"203" 2001-01-01 "Correi\xc3\xa7\xc3\xa3o Parcial" 2 0 0.0559290953545232 0.000150591069949552
"204" 2001-01-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 5 0 0.0559290953545232 0.00037647767487388
"205" 2001-01-01 "Habeas Corpus" 103 0 0.0559290953545232 0.00775544010240193
"206" 2001-01-01 "Mandado de Seguran\xc3\xa7a" 2 0 0.0559290953545232 0.000150591069949552
"207" 2001-01-01 "Recurso em Sentido Estrito" 8 0 0.0559290953545232 0.000602364279798208
"208" 2001-02-01 "A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria" 2 0 0.0606662591687042 0.000150591069949552
"209" 2001-02-01 "Agravo" 106 0 0.0606662591687042 0.00798132670732626
"210" 2001-02-01 "Agravo de Instrumento" 598 0 0.0606662591687042 0.045026729914916
"211" 2001-02-01 "Agravo em Execu\xc3\xa7\xc3\xa3o" 2 0 0.0606662591687042 0.000150591069949552
"212" 2001-02-01 "Agravo Interno" 42 0 0.0606662591687042 0.00316241246894059
"213" 2001-02-01 "Agravo Lei" 5 0 0.0606662591687042 0.00037647767487388
"214" 2001-02-01 "Agravo Regimental" 14 0 0.0606662591687042 0.00105413748964686
"215" 2001-02-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 1482 0 0.0606662591687042 0.111587982832618
"216" 2001-02-01 "Apela\xc3\xa7\xc3\xa3o Crime" 176 0 0.0606662591687042 0.0132520141555606
"217" 2001-02-01 "Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio" 216 0 0.0606662591687042 0.0162638355545516
"218" 2001-02-01 "Conflito de Compet\xc3\xaancia" 6 0 0.0606662591687042 0.000451773209848656
"219" 2001-02-01 "Conflito de Jurisdi\xc3\xa7\xc3\xa3o" 1 0 0.0606662591687042 7.5295534974776e-05
"220" 2001-02-01 "Correi\xc3\xa7\xc3\xa3o Parcial" 2 0 0.0606662591687042 0.000150591069949552
"221" 2001-02-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 279 0 0.0606662591687042 0.0210074542579625
"222" 2001-02-01 "Embargos Infringentes" 1 0 0.0606662591687042 7.5295534974776e-05
